account_id,customer_id,branch_id,account_type,balance
5001,1631,214,Savings,29000
5002,1176,208,Current,131000
5003,1934,213,Savings,7000
5004,1554,211,Savings,473000
5005,1498,218,Current,177000
5006,1773,211,Current,30000
5007,1167,209,Current,388000
5008,1749,215,Current,213000
5009,1239,212,Savings,477000
5010,1519,215,Current,232000
5011,1204,218,Current,499000
5012,1002,203,Savings,193000
5013,1938,202,Savings,12000
5014,1726,209,Savings,351000
5015,1768,208,Savings,274000
5016,1920,213,Current,124000
5017,1526,215,Savings,213000
5018,1760,212,Current,409000
5019,1078,218,Savings,381000
5020,1848,218,Savings,128000
5021,1136,203,Savings,194000
5022,1794,206,Current,163000
5023,1901,215,Savings,447000
5024,1337,217,Current,282000
5025,1241,216,Savings,137000
5026,1468,211,Current,469000
5027,1761,214,Current,92000
5028,1898,208,Savings,102000
5029,1351,214,Savings,499000
5030,1149,211,Current,133000
5031,1148,213,Savings,440000
5032,1736,214,Current,301000
5033,1069,210,Savings,194000
5034,1709,207,Current,430000
5035,1125,204,Current,272000
5036,1150,208,Current,336000
5037,1910,210,Savings,382000
5038,1134,212,Savings,487000
5039,1947,201,Current,145000
5040,1413,220,Current,318000
5041,1920,218,Current,442000
5042,1338,220,Current,460000
5043,1950,204,Current,428000
5044,1199,212,Savings,290000
5045,1898,209,Savings,392000
5046,1409,217,Current,209000
5047,1896,205,Savings,135000
5048,1231,210,Current,284000
5049,1453,201,Current,331000
5050,1176,215,Savings,213000
5051,1514,208,Current,448000
5052,1212,212,Current,136000
5053,1226,205,Savings,220000
5054,1722,202,Savings,210000
5055,1014,210,Current,209000
5056,1059,216,Savings,226000
5057,1364,220,Savings,343000
5058,1201,214,Savings,16000
5059,1235,208,Current,11000
5060,1183,201,Savings,395000
5061,1627,211,Savings,375000
5062,1777,213,Current,305000
5063,1297,217,Current,267000
5064,1247,207,Savings,348000
5065,1370,214,Current,74000
5066,1123,217,Current,52000
5067,1819,206,Savings,378000
5068,1338,220,Savings,397000
5069,1938,207,Current,430000
5070,1927,213,Savings,350000
5071,1790,220,Savings,375000
5072,1059,211,Savings,328000
5073,1432,204,Current,286000
5074,1897,205,Current,115000
5075,1636,216,Current,356000
5076,1544,213,Savings,489000
5077,1442,219,Current,195000
5078,1257,202,Current,428000
5079,1812,210,Savings,227000
5080,1388,205,Savings,363000
5081,1914,215,Current,327000
5082,1087,208,Current,390000
5083,1134,204,Savings,187000
5084,1820,207,Savings,191000
5085,1369,220,Savings,155000
5086,1868,220,Savings,380000
5087,1723,205,Savings,264000
5088,1651,203,Savings,250000
5089,1040,206,Current,163000
5090,1731,216,Savings,401000
5091,1885,203,Current,167000
5092,1575,205,Current,403000
5093,1044,203,Current,121000
5094,1786,217,Current,386000
5095,1998,215,Current,155000
5096,1235,208,Savings,270000
5097,1847,206,Savings,462000
5098,1717,207,Savings,183000
5099,1824,216,Savings,471000
5100,1818,202,Current,140000
5101,1065,219,Current,322000
5102,1852,205,Current,288000
5103,1060,205,Savings,381000
5104,1323,201,Savings,489000
5105,1673,220,Current,63000
5106,1416,207,Savings,164000
5107,1184,210,Savings,238000
5108,1565,201,Savings,164000
