branch_id,branch_name,city,state,manager_name
201,Pune Branch,Pune,Maharashtra,Rushil Chowdhury
202,Kolkata Branch,Kolkata,West Bengal,Nathaniel Kade
203,Pune Branch,Pune,Maharashtra,Tanvi Ahuja
204,Pune Branch,Pune,Maharashtra,Radhika Chand
205,Ahmedabad Branch,Ahmedabad,Gujarat,Madhav Hans
206,Chennai Branch,Chennai,Tamil Nadu,Lohit Dhillon
207,Ahmedabad Branch,Ahmedabad,Gujarat,Ranveer Ramaswamy
208,Ahmedabad Branch,Ahmedabad,Gujarat,Advik Shroff
209,Bangalore Branch,Bangalore,Karnataka,Ekalinga Karpe
210,Ahmedabad Branch,Ahmedabad,Gujarat,Anita Deshpande
211,Ahmedabad Branch,Ahmedabad,Gujarat,Ekaraj Mane
212,Pune Branch,Pune,Maharashtra,Dominic Mangal
213,Ahmedabad Branch,Ahmedabad,Gujarat,Udant Narayanan
214,Bangalore Branch,Bangalore,Karnataka,Warjas Walla
215,Hyderabad Branch,Hyderabad,Telangana,Riya Murty
216,Hyderabad Branch,Hyderabad,Telangana,Shravya Char
217,Ahmedabad Branch,Ahmedabad,Gujarat,Vivaan Nori
218,Bangalore Branch,Bangalore,Karnataka,Tanish Majumdar
219,Ahmedabad Branch,Ahmedabad,Gujarat,Anika Sandal
220,Chennai Branch,Chennai,Tamil Nadu,Upadhriti Agrawal
