card_id,customer_id,card_type,expiry_year,card_status
9001,1929,Credit,2029,Active
9002,1729,Debit,2031,Blocked
9003,1507,Debit,2031,Blocked
9004,1638,Debit,2032,Blocked
9005,1110,Debit,2030,Blocked
9006,1166,Credit,2028,Active
9007,1727,Debit,2031,Blocked
9008,1984,Credit,2027,Expired
9009,1410,Debit,2027,Active
9010,1205,Debit,2027,Blocked
9011,1380,Debit,2030,Blocked
9012,1712,Credit,2030,Active
9013,1721,Credit,2029,Expired
9014,1408,Debit,2030,Blocked
9015,1698,Credit,2032,Blocked
9016,1409,Debit,2031,Expired
9017,1941,Credit,2031,Blocked
9018,1529,Debit,2029,Expired
9019,1064,Debit,2029,Active
9020,1038,Credit,2032,Active
9021,1720,Credit,2027,Blocked
9022,1062,Debit,2032,Active
9023,1586,Debit,2031,Blocked
9024,1707,Debit,2029,Blocked
9025,1492,Credit,2031,Active
9026,1423,Credit,2031,Expired
9027,1269,Credit,2028,Blocked
9028,1276,Credit,2028,Active
9029,1287,Debit,2032,Active
9030,1311,Debit,2031,Active
9031,1576,Credit,2031,Active
9032,1516,Credit,2031,Expired
9033,1306,Credit,2027,Blocked
9034,1937,Credit,2029,Expired
9035,1501,Credit,2031,Blocked
9036,1386,Debit,2031,Expired
9037,1316,Debit,2029,Expired
9038,1890,Credit,2030,Active
9039,1507,Debit,2030,Expired
9040,1655,Credit,2029,Expired
9041,1778,Credit,2028,Active
9042,1736,Credit,2030,Blocked
9043,1803,Debit,2028,Active
9044,1322,Credit,2032,Blocked
9045,1689,Credit,2027,Expired
9046,1010,Credit,2031,Active
9047,1824,Credit,2029,Blocked
9048,1977,Debit,2030,Expired
9049,1658,Debit,2027,Blocked
9050,1893,Credit,2028,Blocked
9051,1894,Debit,2028,Blocked
9052,1259,Credit,2030,Expired
9053,1728,Credit,2030,Active
9054,1136,Debit,2027,Blocked
9055,1289,Credit,2030,Expired
9056,1292,Credit,2028,Blocked
9057,1766,Credit,2027,Active
9058,1412,Credit,2028,Blocked
9059,1880,Debit,2029,Active
9060,1685,Credit,2028,Expired
9061,1063,Debit,2027,Expired
9062,1031,Credit,2030,Blocked
9063,1362,Debit,2032,Expired
9064,1561,Debit,2027,Active
9065,1319,Debit,2027,Expired
9066,1953,Debit,2032,Expired
9067,1824,Debit,2031,Expired
9068,1851,Debit,2028,Active
9069,1133,Debit,2029,Blocked
9070,1125,Debit,2027,Active
9071,1374,Debit,2032,Expired
9072,1512,Debit,2027,Active
9073,1647,Credit,2032,Expired
9074,1290,Credit,2031,Active
9075,1626,Debit,2030,Blocked
9076,1689,Debit,2028,Expired
9077,1387,Credit,2030,Active
9078,1421,Debit,2029,Blocked
9079,1321,Debit,2031,Expired
9080,1129,Credit,2028,Active
9081,1347,Credit,2032,Active
9082,1005,Credit,2030,Active
9083,1240,Credit,2027,Blocked
9084,1250,Credit,2029,Expired
9085,1240,Credit,2029,Active
9086,1898,Credit,2028,Active
9087,1103,Debit,2030,Expired
9088,1313,Credit,2029,Blocked
9089,1407,Credit,2030,Active
9090,1504,Debit,2028,Expired
9091,1331,Debit,2031,Blocked
9092,1896,Debit,2027,Blocked
9093,1011,Debit,2029,Active
9094,1191,Credit,2028,Blocked
9095,1963,Debit,2031,Active
9096,1633,Credit,2031,Blocked
9097,1944,Debit,2031,Expired
9098,1391,Debit,2031,Active
9099,1488,Credit,2027,Expired
9100,1811,Debit,2031,Blocked
9101,1696,Credit,2027,Blocked
9102,1962,Debit,2032,Active
9103,1510,Credit,2029,Expired
9104,1773,Credit,2028,Blocked
9105,1933,Debit,2031,Active
9106,1456,Credit,2028,Expired
9107,1385,Credit,2032,Expired
9108,1128,Debit,2032,Active
9109,1888,Debit,2031,Active
9110,1404,Credit,2030,Expired
9111,1924,Credit,2028,Blocked
9112,1398,Credit,2032,Expired
9113,1797,Credit,2027,Active
9114,1117,Debit,2028,Expired
9115,1156,Debit,2027,Expired
9116,1211,Debit,2029,Active
9117,1149,Credit,2031,Blocked
9118,1244,Credit,2031,Active
9119,1904,Debit,2030,Blocked
9120,1401,Debit,2027,Active
9121,1963,Credit,2032,Active
9122,1347,Debit,2028,Blocked
9123,1089,Credit,2027,Active
9124,1034,Credit,2032,Blocked
9125,1926,Debit,2027,Expired
9126,1157,Credit,2030,Expired
9127,1018,Credit,2032,Active
9128,1313,Credit,2028,Blocked
9129,1274,Credit,2029,Expired
9130,1862,Credit,2028,Active
9131,1587,Credit,2030,Blocked
9132,1737,Credit,2032,Active
9133,1471,Debit,2027,Active
9134,1049,Debit,2032,Expired
9135,1446,Debit,2028,Active
9136,1426,Debit,2032,Active
9137,1495,Credit,2032,Active
9138,1697,Debit,2029,Blocked
9139,1584,Debit,2029,Blocked
9140,1392,Credit,2031,Active
9141,1869,Debit,2032,Active
9142,1079,Debit,2032,Expired
9143,1719,Debit,2029,Expired
9144,1577,Credit,2028,Expired
9145,1171,Credit,2031,Blocked
9146,1434,Debit,2028,Expired
9147,1425,Debit,2027,Active
9148,1133,Debit,2030,Active
9149,1067,Credit,2028,Blocked
9150,1606,Debit,2032,Active
9151,1025,Credit,2030,Active
9152,1877,Credit,2031,Blocked
9153,1907,Credit,2031,Active
9154,1943,Credit,2032,Active
9155,1976,Debit,2029,Active
9156,1306,Debit,2030,Blocked
9157,1202,Debit,2027,Expired
9158,1792,Debit,2027,Blocked
9159,1073,Debit,2027,Blocked
9160,1092,Credit,2029,Blocked
9161,1817,Debit,2030,Expired
9162,1750,Credit,2028,Blocked
9163,1584,Credit,2030,Active
9164,1103,Debit,2029,Expired
9165,1898,Credit,2027,Blocked
9166,1718,Credit,2027,Expired
9167,1242,Credit,2032,Blocked
9168,1643,Credit,2032,Active
9169,1397,Credit,2029,Expired
9170,1828,Credit,2032,Expired
9171,1659,Credit,2031,Active
9172,1450,Credit,2027,Active
9173,1182,Debit,2028,Expired
9174,1302,Credit,2030,Active
9175,1544,Debit,2030,Blocked
9176,1156,Debit,2031,Expired
9177,1105,Credit,2027,Expired
9178,1323,Debit,2030,Active
9179,1623,Credit,2029,Active
9180,1617,Credit,2028,Active
9181,1163,Credit,2029,Active
9182,1942,Debit,2031,Expired
9183,1061,Debit,2032,Blocked
9184,1540,Debit,2032,Blocked
9185,1096,Debit,2027,Active
9186,1021,Credit,2031,Expired
9187,1742,Credit,2028,Active
9188,1816,Credit,2030,Expired
9189,1152,Credit,2028,Blocked
9190,1998,Debit,2029,Active
9191,1937,Credit,2027,Expired
9192,1702,Debit,2028,Blocked
9193,1414,Debit,2028,Active
9194,1922,Debit,2032,Active
9195,1725,Credit,2031,Active
9196,1534,Debit,2028,Active
9197,1194,Credit,2028,Active
9198,1734,Debit,2027,Expired
9199,1904,Debit,2029,Active
9200,1431,Debit,2031,Blocked
9201,1103,Debit,2028,Active
9202,1250,Debit,2030,Blocked
9203,1465,Credit,2032,Blocked
9204,1299,Debit,2027,Blocked
9205,1693,Credit,2029,Active
9206,1365,Credit,2030,Active
9207,1250,Debit,2029,Expired
9208,1340,Debit,2030,Expired
9209,1781,Credit,2027,Active
9210,1264,Credit,2031,Active
9211,1585,Credit,2027,Expired
9212,1736,Debit,2031,Active
9213,1834,Credit,2028,Blocked
9214,1027,Debit,2031,Expired
9215,1531,Debit,2029,Blocked
9216,1254,Debit,2028,Expired
9217,1997,Credit,2030,Expired
9218,1778,Credit,2030,Active
9219,1392,Debit,2029,Blocked
9220,1856,Credit,2028,Blocked
9221,1343,Debit,2028,Expired
9222,1431,Debit,2028,Active
9223,1905,Credit,2027,Blocked
9224,1623,Credit,2031,Active
9225,1317,Credit,2031,Expired
9226,1877,Debit,2029,Active
9227,1113,Debit,2028,Expired
9228,1258,Debit,2030,Expired
9229,1110,Debit,2028,Blocked
9230,1783,Debit,2030,Blocked
9231,1015,Credit,2029,Expired
9232,1356,Debit,2029,Blocked
9233,1388,Credit,2030,Expired
9234,1967,Debit,2032,Active
9235,1029,Debit,2029,Blocked
9236,1485,Credit,2029,Active
9237,1163,Credit,2030,Active
9238,1766,Credit,2027,Expired
9239,1268,Credit,2028,Active
9240,1593,Credit,2032,Expired
9241,1356,Debit,2030,Active
9242,1812,Credit,2031,Active
9243,1191,Credit,2028,Expired
9244,1966,Debit,2028,Expired
9245,1257,Debit,2028,Expired
9246,1758,Credit,2031,Blocked
9247,1524,Credit,2029,Active
9248,1929,Debit,2031,Expired
9249,1933,Credit,2032,Active
9250,1865,Debit,2029,Active
9251,1275,Credit,2029,Active
9252,1791,Debit,2030,Blocked
9253,1014,Debit,2029,Expired
9254,1283,Credit,2031,Expired
9255,1020,Credit,2030,Expired
9256,1151,Credit,2032,Expired
9257,1046,Credit,2030,Expired
9258,1971,Credit,2028,Active
9259,1975,Credit,2030,Expired
9260,1995,Debit,2030,Expired
9261,1514,Credit,2030,Expired
9262,1260,Credit,2029,Blocked
9263,1117,Credit,2027,Active
9264,1002,Credit,2030,Expired
9265,1985,Debit,2030,Blocked
9266,1860,Credit,2032,Blocked
9267,1524,Debit,2028,Expired
9268,1497,Debit,2031,Blocked
9269,1593,Debit,2029,Active
9270,1851,Credit,2027,Blocked
9271,1606,Debit,2030,Blocked
9272,1761,Credit,2032,Blocked
9273,1419,Debit,2032,Active
9274,1956,Debit,2027,Expired
9275,1111,Debit,2028,Active
9276,1450,Debit,2027,Active
9277,1250,Debit,2028,Active
9278,1649,Credit,2030,Active
9279,1682,Credit,2029,Blocked
9280,1077,Credit,2028,Expired
9281,1779,Credit,2028,Expired
9282,1068,Debit,2027,Active
9283,1092,Credit,2031,Expired
9284,1991,Debit,2029,Expired
9285,1224,Credit,2032,Blocked
9286,1855,Credit,2028,Active
9287,1265,Debit,2030,Expired
9288,1274,Debit,2029,Expired
9289,1152,Credit,2032,Blocked
9290,1530,Debit,2028,Expired
9291,1771,Debit,2027,Active
9292,1180,Debit,2029,Blocked
9293,1652,Credit,2029,Expired
9294,1258,Credit,2029,Blocked
9295,1041,Credit,2030,Active
9296,1223,Debit,2029,Blocked
9297,1719,Credit,2030,Blocked
9298,1008,Debit,2029,Expired
9299,1016,Credit,2028,Expired
9300,1017,Credit,2031,Active
9301,1176,Debit,2029,Expired
9302,1372,Debit,2029,Expired
9303,1172,Debit,2028,Expired
9304,1064,Debit,2031,Blocked
9305,1480,Debit,2030,Active
9306,1287,Credit,2029,Blocked
9307,1662,Debit,2031,Active
9308,1710,Debit,2031,Active
9309,1872,Debit,2027,Active
9310,1296,Credit,2027,Active
9311,1925,Debit,2027,Expired
9312,1799,Debit,2031,Active
9313,1045,Credit,2031,Active
9314,1938,Debit,2032,Blocked
9315,1272,Credit,2031,Expired
9316,1562,Debit,2032,Blocked
9317,1601,Credit,2029,Blocked
9318,1454,Debit,2031,Expired
9319,1468,Credit,2030,Active
9320,1084,Credit,2027,Expired
9321,1391,Credit,2030,Expired
9322,1317,Credit,2029,Blocked
9323,1686,Debit,2030,Blocked
9324,1638,Credit,2030,Active
9325,1835,Credit,2032,Expired
9326,1434,Debit,2030,Blocked
9327,1511,Debit,2027,Expired
9328,1832,Debit,2032,Active
9329,1593,Debit,2030,Blocked
9330,1270,Credit,2029,Blocked
9331,1280,Debit,2028,Blocked
