loan_id,customer_id,loan_type,loan_amount,loan_status
7001,1931,Car,4020000,Closed
7002,1321,Car,2360000,Active
7003,1480,Home,2540000,Active
7004,1707,Car,890000,Closed
7005,1623,Education,2330000,Closed
7006,1077,Education,200000,Closed
7007,1881,Personal,640000,Closed
7008,1355,Personal,2820000,Closed
7009,1718,Car,2240000,Active
7010,1789,Car,990000,Active
7011,1919,Home,4900000,Active
7012,1523,Home,1200000,Active
7013,1674,Car,4660000,Active
7014,1933,Home,330000,Active
7015,1675,Education,2510000,Closed
7016,1591,Car,3700000,Active
7017,1524,Education,4540000,Active
7018,1465,Education,3790000,Closed
7019,1467,Education,2470000,Active
7020,1961,Car,4520000,Active
7021,1409,Home,1570000,Active
7022,1739,Education,440000,Closed
7023,1112,Education,3730000,Closed
7024,1595,Personal,3860000,Active
7025,1125,Personal,1020000,Closed
7026,1948,Home,4460000,Closed
7027,1566,Education,830000,Active
7028,1578,Personal,1730000,Closed
7029,1283,Personal,2300000,Active
7030,1702,Personal,1490000,Active
7031,1946,Home,3140000,Active
7032,1301,Car,1180000,Closed
7033,1601,Education,3410000,Closed
7034,1217,Personal,4100000,Closed
7035,1016,Home,1500000,Active
7036,1057,Car,1750000,Closed
7037,1937,Car,2320000,Closed
7038,1069,Personal,2460000,Closed
7039,1336,Personal,3470000,Active
7040,1344,Home,2690000,Closed
7041,1494,Personal,1100000,Closed
7042,1393,Education,4040000,Closed
7043,1363,Education,1650000,Closed
7044,1878,Home,3060000,Active
7045,1811,Personal,1100000,Closed
7046,1166,Car,950000,Closed
7047,1640,Personal,1530000,Closed
7048,1829,Home,2940000,Closed
7049,1454,Education,2400000,Closed
7050,1613,Education,1500000,Closed
7051,1742,Personal,1540000,Closed
7052,1549,Car,4960000,Active
7053,1069,Home,3330000,Closed
7054,1424,Personal,3560000,Closed
7055,1351,Car,1170000,Closed
7056,1452,Education,780000,Active
7057,1836,Car,2010000,Closed
7058,1567,Car,1930000,Closed
7059,1169,Car,4930000,Closed
7060,1225,Car,2410000,Active
7061,1902,Home,3600000,Active
7062,1354,Personal,4330000,Closed
7063,1840,Car,3250000,Active
7064,1723,Car,2930000,Active
7065,1266,Car,3300000,Closed
7066,1408,Home,3770000,Closed
7067,1222,Personal,4680000,Active
7068,1773,Education,4180000,Closed
7069,1591,Personal,4540000,Closed
7070,1112,Home,1050000,Closed
7071,1061,Education,4100000,Closed
7072,1336,Personal,2900000,Active
7073,1606,Personal,3740000,Closed
7074,1694,Car,3780000,Active
7075,1983,Education,2530000,Closed
7076,1285,Car,4690000,Active
7077,1757,Car,1020000,Closed
7078,1882,Personal,1750000,Active
7079,1736,Car,720000,Closed
7080,1691,Personal,2620000,Closed
7081,1346,Personal,3440000,Closed
7082,1221,Home,3150000,Active
7083,1794,Education,3460000,Active
7084,1323,Education,4210000,Active
7085,1714,Home,3210000,Active
7086,1588,Home,3200000,Closed
7087,1284,Education,2280000,Closed
7088,1824,Personal,3090000,Closed
7089,1295,Personal,2780000,Closed
7090,1044,Personal,4080000,Closed
7091,1162,Personal,1270000,Active
7092,1678,Education,1620000,Active
7093,1502,Education,1290000,Active
7094,1497,Personal,1480000,Closed
7095,1324,Education,1770000,Active
7096,1665,Personal,4930000,Closed
7097,1755,Home,4520000,Closed
7098,1018,Personal,3370000,Active
7099,1114,Home,4770000,Active
7100,1420,Education,1330000,Active
7101,1609,Personal,1030000,Closed
7102,1688,Education,720000,Active
7103,1011,Personal,1330000,Active
7104,1128,Home,4350000,Closed
7105,1705,Personal,3610000,Active
7106,1490,Education,4240000,Closed
7107,1058,Home,2410000,Active
7108,1988,Personal,4450000,Closed
7109,1888,Education,2790000,Active
7110,1422,Personal,1990000,Active
7111,1672,Car,1060000,Closed
7112,1546,Education,4070000,Active
7113,1758,Home,4910000,Closed
7114,1714,Personal,2550000,Active
7115,1286,Car,980000,Active
7116,1076,Personal,1610000,Closed
7117,1645,Home,2580000,Active
7118,1966,Home,350000,Active
7119,1780,Personal,3600000,Active
7120,1103,Car,1650000,Active
7121,1700,Personal,2470000,Active
7122,1253,Education,1380000,Active
7123,1654,Home,4800000,Active
7124,1342,Education,3620000,Active
7125,1983,Education,1790000,Active
7126,1250,Home,2610000,Closed
7127,1676,Home,3670000,Active
7128,1546,Car,1190000,Closed
7129,1458,Home,1800000,Active
