transaction_id,account_id,transaction_type,amount,transaction_date
10001,5090,Deposit,45000,2026-07-30
10002,5461,Transfer,19000,2026-07-30
10003,5125,Withdrawal,39000,2026-07-30
10004,5351,Transfer,21500,2026-07-30
10005,6325,Transfer,66000,2026-07-30
10006,5251,Deposit,13500,2026-07-30
10007,5181,Transfer,5000,2026-07-30
10008,5967,Deposit,50500,2026-07-30
10009,6351,Transfer,97500,2026-07-30
10010,6023,Withdrawal,75000,2026-07-30
10011,5141,Withdrawal,54000,2026-07-30
10012,6336,Deposit,15000,2026-07-30
10013,5041,Deposit,35000,2026-07-30
10014,5381,Transfer,28500,2026-07-30
10015,5615,Deposit,96000,2026-07-30
10016,5178,Deposit,56500,2026-07-30
10017,5723,Transfer,49000,2026-07-30
10018,5947,Withdrawal,80000,2026-07-30
10019,5541,Withdrawal,43000,2026-07-30
10020,5174,Transfer,36500,2026-07-30
10021,5282,Withdrawal,38000,2026-07-30
10022,5967,Withdrawal,63500,2026-07-30
10023,5241,Deposit,66000,2026-07-30
10024,5997,Deposit,11500,2026-07-30
10025,5226,Deposit,54000,2026-07-30
10026,5822,Withdrawal,66000,2026-07-30
10027,6215,Deposit,31000,2026-07-30
10028,6396,Transfer,5500,2026-07-30
10029,5990,Deposit,91000,2026-07-30
10030,5650,Withdrawal,22000,2026-07-30
10031,5300,Withdrawal,34500,2026-07-30
10032,5687,Transfer,5000,2026-07-30
10033,5185,Deposit,62000,2026-07-30
10034,5233,Withdrawal,22500,2026-07-30
10035,5780,Deposit,67500,2026-07-30
10036,5410,Transfer,2000,2026-07-30
10037,5158,Withdrawal,22000,2026-07-30
10038,5284,Deposit,79500,2026-07-30
10039,5800,Transfer,94500,2026-07-30
10040,5554,Deposit,26000,2026-07-30
10041,6195,Withdrawal,19000,2026-07-30
10042,5788,Deposit,49000,2026-07-30
10043,5443,Transfer,88500,2026-07-30
10044,5798,Transfer,24000,2026-07-30
10045,5685,Transfer,51000,2026-07-30
10046,5962,Transfer,15500,2026-07-30
10047,5477,Withdrawal,8500,2026-07-30
10048,5186,Transfer,93000,2026-07-30
10049,5161,Transfer,82500,2026-07-30
10050,5897,Deposit,7500,2026-07-30
10051,5618,Transfer,40500,2026-07-30
10052,5768,Transfer,100000,2026-07-30
10053,5982,Deposit,40000,2026-07-30
10054,5751,Transfer,31000,2026-07-30
10055,5501,Deposit,74000,2026-07-30
10056,5501,Transfer,89500,2026-07-30
10057,5072,Transfer,16500,2026-07-30
10058,5307,Deposit,87000,2026-07-30
10059,5912,Transfer,46000,2026-07-30
10060,5897,Deposit,39500,2026-07-30
10061,5877,Transfer,38500,2026-07-30
10062,5401,Deposit,27500,2026-07-30
